window_id,type,step,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,isFraud
0,TRANSFER,44,468169.79,30035.0,0.0,773482.9,1241652.7,0
0,CASH_IN,323,73987.47,83.0,74070.47,537586.31,463598.85,0
0,PAYMENT,239,7094.84,0.0,0.0,0.0,0.0,0
0,CASH_OUT,346,29102.5,0.0,0.0,650398.99,679501.48,0
0,CASH_OUT,129,182783.54,21230.0,0.0,26693.87,209477.41,0
0,CASH_OUT,343,237943.62,237943.62,0.0,2391221.01,2629164.62,1
0,CASH_IN,15,241607.1,10525.0,252132.1,31766.87,0.0,0
0,CASH_IN,20,161351.61,6832605.97,6993957.58,9993083.79,9831732.18,0
0,PAYMENT,39,21039.16,0.0,0.0,0.0,0.0,0
0,TRANSFER,164,66317.54,0.0,0.0,220880.16,287197.7,0
0,CASH_IN,284,15528.22,6095087.5,6110615.72,1975140.22,1959612.0,0
0,PAYMENT,395,50925.67,124574.83,73649.16,0.0,0.0,0
0,CASH_IN,346,155223.17,216219.72,371442.89,848988.56,949134.61,0
0,CASH_OUT,186,234041.99,1690.0,0.0,30171.31,264213.3,0
0,CASH_OUT,188,234323.92,28463.0,0.0,0.0,234323.92,0
0,TRANSFER,142,73064.41,73064.41,0.0,0.0,0.0,1
0,CASH_OUT,323,48103.31,35531.82,0.0,2719831.44,2767934.75,0
0,CASH_OUT,351,49695.33,0.0,0.0,8391634.16,8441329.48,0
0,PAYMENT,33,475.32,504284.0,503808.68,0.0,0.0,0
0,CASH_IN,371,92871.32,9106.0,101977.32,3103942.16,3011070.83,0
0,CASH_IN,18,19292.46,3503073.6,3522366.07,203398.52,184106.06,0
0,CASH_OUT,133,156389.46,2395.0,0.0,151504.98,307894.44,0
0,PAYMENT,163,2675.21,0.0,0.0,0.0,0.0,0
0,CASH_IN,177,170060.88,2478703.04,2648763.92,223635.65,53574.77,0
0,PAYMENT,143,26871.21,0.0,0.0,0.0,0.0,0
0,CASH_IN,395,56026.86,8408182.05,8464208.9,81345.77,25318.92,0
0,CASH_OUT,355,291704.42,0.0,0.0,576190.67,867895.08,0
0,PAYMENT,13,6086.67,0.0,0.0,0.0,0.0,0
0,CASH_OUT,19,132093.54,362940.21,230846.67,377039.89,613261.21,0
0,TRANSFER,42,390456.75,9958.0,0.0,0.0,390456.75,0
0,TRANSFER,154,1177746.53,10924.0,0.0,309590.81,1487337.34,0
0,CASH_OUT,18,104856.73,14057.0,0.0,184516.59,289373.32,0
0,CASH_OUT,398,155155.95,16848.0,0.0,1479010.03,1634165.98,0
0,CASH_OUT,257,26701.25,0.0,0.0,186904.38,213605.63,0
0,PAYMENT,381,759.53,200610.0,199850.47,0.0,0.0,0
0,CASH_OUT,20,448025.06,448025.06,0.0,71679.93,519704.99,1
0,CASH_OUT,157,87271.66,0.0,0.0,348160.6,848844.55,0
0,CASH_OUT,234,404009.25,0.0,0.0,1474675.54,2153894.5,0
0,CASH_OUT,351,19833.51,0.0,0.0,484665.94,504499.45,0
0,CASH_OUT,179,384950.58,0.0,0.0,879093.37,1264043.95,0
0,TRANSFER,294,21819.57,21819.57,0.0,0.0,0.0,1
0,PAYMENT,346,26394.62,0.0,0.0,0.0,0.0,0
0,CASH_OUT,8,12032.6,1894803.78,1882771.18,383009.36,774383.4,0
0,CASH_IN,277,124809.9,11343.0,136152.9,0.0,0.0,0
0,CASH_IN,35,162456.48,2246199.86,2408656.34,403414.51,240958.03,0
0,CASH_OUT,12,26712.71,0.0,0.0,1724492.94,2564076.62,0
0,CASH_OUT,661,69220.09,0.0,0.0,274950.73,344170.82,0
0,CASH_OUT,10,273811.98,19801.0,0.0,949398.23,1163222.37,0
0,CASH_OUT,140,73152.01,156102.0,82949.99,0.0,73152.01,0
0,TRANSFER,350,1177343.62,179.0,0.0,0.0,1177343.62,0
0,CASH_IN,400,68868.97,19791228.46,19860097.43,6168016.6,6099147.63,0
0,TRANSFER,25,1698263.69,1698263.69,0.0,0.0,0.0,1
0,CASH_OUT,585,104687.72,0.0,0.0,9777056.01,9881743.73,0
0,CASH_OUT,131,410862.97,0.0,0.0,4400716.76,4811579.74,0
0,CASH_IN,8,77279.7,584215.66,661495.36,264294.21,1404288.87,0
0,TRANSFER,471,3327200.31,386009.69,0.0,6623603.83,9950804.14,0
0,CASH_OUT,355,165385.44,125.0,0.0,106856.47,272241.91,0
0,CASH_OUT,307,357024.4,0.0,0.0,1348522.74,1705547.14,0
0,PAYMENT,372,972.24,31757.0,30784.76,0.0,0.0,0
0,PAYMENT,41,6047.23,0.0,0.0,0.0,0.0,0
0,CASH_IN,594,152571.98,127.0,152698.98,450193.32,297621.33,0
0,CASH_OUT,396,177868.3,152458.0,0.0,0.0,177868.3,0
0,PAYMENT,40,12403.79,77441.0,65037.21,0.0,0.0,0
0,CASH_OUT,692,349619.91,349619.91,0.0,1472559.62,1822179.54,1
0,TRANSFER,64,3097121.75,3097121.75,0.0,0.0,0.0,1
0,CASH_OUT,205,31900.74,752.0,0.0,1144399.39,1176300.13,0
0,CASH_OUT,544,150168.02,0.0,0.0,352100.47,502268.49,0
0,PAYMENT,15,1677.37,478787.45,477110.08,0.0,0.0,0
0,PAYMENT,261,5982.19,475.0,0.0,0.0,0.0,0
0,CASH_IN,307,155343.19,11455575.27,11610918.45,7903159.31,7747816.12,0
0,CASH_OUT,280,129278.04,11555.0,0.0,463214.14,592492.18,0
0,PAYMENT,619,3786.94,114340.0,110553.06,0.0,0.0,0
0,CASH_OUT,282,49663.73,0.0,0.0,50334.14,99997.87,0
0,TRANSFER,698,10000000.0,12184556.65,2184556.65,0.0,0.0,1
0,CASH_OUT,185,214242.29,40383.0,0.0,1152088.89,1366331.18,0
0,CASH_OUT,332,80972.93,4066.0,0.0,1103323.52,1184296.44,0
0,PAYMENT,120,25829.64,0.0,0.0,0.0,0.0,0
0,PAYMENT,20,14179.34,0.0,0.0,0.0,0.0,0
0,PAYMENT,353,26409.07,0.0,0.0,0.0,0.0,0
0,TRANSFER,229,56574.3,0.0,0.0,5463699.45,5520273.75,0
0,PAYMENT,345,8899.57,0.0,0.0,0.0,0.0,0
0,TRANSFER,352,594282.17,5094.0,0.0,0.0,594282.17,0
0,CASH_IN,347,104870.34,149.0,105019.34,0.0,0.0,0
0,CASH_OUT,260,13715.13,97663.57,83948.44,863682.46,877397.59,0
0,CASH_IN,39,119514.02,16905.0,136419.02,275709.75,156195.73,0
0,CASH_IN,252,440814.66,100966.14,541780.8,3933040.64,3492225.97,0
0,CASH_IN,167,170260.58,6807310.57,6977571.15,1159339.11,989078.52,0
0,CASH_OUT,133,276707.6,10430.0,0.0,19146.1,212686.03,0
0,CASH_IN,188,347830.93,3998257.9,4346088.83,521306.57,173475.64,0
0,PAYMENT,282,1705.6,544474.62,542769.03,0.0,0.0,0
0,PAYMENT,209,13345.17,217588.43,204243.26,0.0,0.0,0
0,PAYMENT,97,13717.56,13034.0,0.0,0.0,0.0,0
0,CASH_OUT,617,311974.57,70563.0,0.0,1289449.86,1601424.42,0
0,CASH_IN,281,15333.46,6004815.51,6020148.98,79449.44,64115.98,0
0,CASH_IN,370,164706.08,221857.0,386563.08,602545.06,437838.98,0
0,CASH_OUT,254,28761.51,99751.0,70989.49,0.0,28761.51,0
0,TRANSFER,143,7068115.67,7068115.67,0.0,0.0,0.0,1
0,CASH_OUT,183,143540.15,1041.0,0.0,0.0,143540.15,0
0,PAYMENT,36,4862.46,98160.0,93297.54,0.0,0.0,0
0,CASH_IN,330,741442.92,21730159.28,22471602.2,969576.04,228133.12,0
0,CASH_OUT,600,1649039.58,1649039.58,0.0,1970152.93,3619192.51,1
0,CASH_IN,140,6398.99,29719.0,36117.99,0.0,0.0,0
0,CASH_IN,34,73038.56,27230160.05,27303198.61,435000.62,361962.06,0
0,CASH_OUT,94,157615.67,0.0,0.0,419666.0,577281.67,0
0,PAYMENT,8,17642.35,20619.87,2977.52,0.0,0.0,0
0,CASH_IN,252,212093.47,6579816.86,6791910.33,653383.28,441289.81,0
0,CASH_OUT,156,178955.41,8047.0,0.0,0.0,178955.41,0
0,CASH_IN,284,418881.52,2427632.58,2846514.1,1680331.08,1261449.56,0
0,CASH_IN,354,272694.28,57850.0,330544.28,212721.36,0.0,0
0,TRANSFER,280,268762.37,268762.37,0.0,0.0,0.0,1
0,PAYMENT,249,30459.66,0.0,0.0,0.0,0.0,0
0,CASH_OUT,369,32575.37,2569.23,0.0,1067776.23,1100351.6,0
0,PAYMENT,349,41048.35,20562.0,0.0,0.0,0.0,0
0,TRANSFER,637,4267405.4,0.0,0.0,5079649.23,9347054.62,0
0,CASH_OUT,278,414499.58,5064.0,0.0,0.0,414499.58,0
0,CASH_IN,345,177334.99,643.0,177977.99,0.0,0.0,0
0,CASH_OUT,12,326484.77,0.0,0.0,435390.62,604479.62,0
0,CASH_OUT,212,102894.16,10131.0,0.0,0.0,102894.16,0
0,CASH_OUT,40,91516.18,0.0,0.0,13722231.99,13813748.17,0
0,CASH_OUT,69,2960254.17,2960254.17,0.0,620822.89,3581077.07,1
0,CASH_OUT,370,242509.16,0.0,0.0,1661841.47,1904350.62,0
0,PAYMENT,20,14955.12,12854.0,0.0,0.0,0.0,0
0,TRANSFER,18,492488.93,0.0,0.0,1276224.12,1805070.28,0
0,PAYMENT,187,3460.65,0.0,0.0,0.0,0.0,0
0,PAYMENT,333,21878.86,398443.0,376564.14,0.0,0.0,0
0,PAYMENT,192,357.23,107.0,0.0,0.0,0.0,0
0,CASH_IN,179,177561.31,3168826.83,3346388.14,857334.42,679773.1,0
0,CASH_OUT,34,100174.42,0.0,0.0,6304221.41,6404395.83,0
0,CASH_OUT,207,109830.47,403.0,0.0,44783.0,154613.47,0
0,TRANSFER,307,16734.61,16734.61,0.0,0.0,0.0,1
0,TRANSFER,138,347984.96,65422.0,0.0,895639.66,1243624.63,0
0,CASH_OUT,363,1715635.41,1715635.41,0.0,0.0,1715635.41,1
0,CASH_OUT,16,529504.7,309.0,0.0,5681748.84,6211253.54,0
0,PAYMENT,373,4457.36,0.0,0.0,0.0,0.0,0
0,CASH_IN,34,301573.18,2326213.25,2627786.43,476404.91,174831.73,0
0,PAYMENT,142,32568.45,0.0,0.0,0.0,0.0,0
0,TRANSFER,163,19277.5,19220.0,0.0,4215.93,23493.43,0
0,TRANSFER,232,1705821.37,157236.0,0.0,336595.06,2042416.43,0
0,CASH_OUT,325,107366.18,0.0,0.0,10242628.56,10349994.73,0
0,CASH_IN,157,85801.37,1967361.01,2053162.38,883475.14,797673.77,0
0,CASH_OUT,156,276470.05,133998.0,0.0,701101.37,751902.2,0
0,PAYMENT,166,9584.66,11211.0,1626.34,0.0,0.0,0
0,CASH_IN,325,480361.42,1528.0,481889.42,12414.86,0.0,0
0,CASH_OUT,255,9342.19,0.0,0.0,286925.18,296267.37,0
0,PAYMENT,38,9697.07,740.0,0.0,0.0,0.0,0
0,TRANSFER,228,1277184.99,0.0,0.0,2477583.08,3754768.07,0
0,PAYMENT,185,23125.99,0.0,0.0,0.0,0.0,0
0,CASH_OUT,162,111160.26,0.0,0.0,7405376.59,7516536.85,0
0,PAYMENT,400,5140.01,288106.59,282966.58,0.0,0.0,0
0,CASH_OUT,691,313831.48,59904.0,0.0,422818.53,736650.01,0
0,PAYMENT,404,9698.62,0.0,0.0,0.0,0.0,0
0,PAYMENT,397,6714.46,0.0,0.0,0.0,0.0,0
0,PAYMENT,22,11028.03,0.0,0.0,0.0,0.0,0
0,PAYMENT,299,2289.77,28542.62,26252.84,0.0,0.0,0
0,PAYMENT,376,12503.09,21099.0,8595.91,0.0,0.0,0
0,CASH_OUT,371,268990.06,0.0,0.0,533324.11,802314.17,0
0,CASH_OUT,159,342395.05,9036.0,0.0,6984.31,349379.36,0
0,PAYMENT,139,1278.78,0.0,0.0,0.0,0.0,0
0,CASH_IN,283,26833.17,19612520.26,19639353.43,109786.01,82952.85,0
0,PAYMENT,359,3953.78,739671.0,735717.22,0.0,0.0,0
0,PAYMENT,321,21696.18,168516.49,146820.31,0.0,0.0,0
0,CASH_OUT,153,249056.82,21568.0,0.0,0.0,249056.82,0
0,PAYMENT,608,4765.23,174983.24,170218.01,0.0,0.0,0
0,CASH_IN,329,100610.7,10019.0,110629.7,511055.36,410444.67,0
0,CASH_OUT,354,23574.8,28676.0,5101.2,209920.3,233495.1,0
0,PAYMENT,226,25352.96,0.0,0.0,0.0,0.0,0
0,CASH_IN,234,125824.06,10443895.64,10569719.71,170436.02,44611.96,0
0,PAYMENT,229,11698.2,1062.0,0.0,0.0,0.0,0
0,CASH_OUT,573,191710.82,0.0,0.0,232816.08,424526.9,0
0,CASH_IN,182,186681.99,20965.0,207646.99,2754642.97,2567960.98,0
0,CASH_OUT,354,176155.41,368.0,0.0,1098780.33,1274935.74,0
0,CASH_OUT,396,474733.35,40596.0,0.0,0.0,474733.35,0
0,PAYMENT,375,4740.29,0.0,0.0,0.0,0.0,0
0,TRANSFER,327,2701184.34,58899.0,0.0,0.0,2701184.34,0
0,PAYMENT,8,318.82,480.0,161.18,0.0,0.0,0
0,PAYMENT,16,17882.45,10800.0,0.0,0.0,0.0,0
0,TRANSFER,603,1778520.7,1778520.7,0.0,0.0,0.0,1
